Country,Ratification,treaty,Entry,Signature,Note,Territorial Application,Declarations,Reservations,Communication,Authorities,Denunciation,Effect denunciation,Objection
Latvia,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Liechtenstein,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Lithuania,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Luxembourg,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,24/1/2002,,,,,,,,,
Malta,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Moldova,5/2/2008,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,1/6/2008,8/2/2007,,,,,,,,,
Monaco,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Montenegro,19/3/2010,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,1/7/2010,9/2/2005,55,,,,,,,,
Netherlands,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,4/2/2002,,,,,,,,,
Norway,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Poland,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Portugal,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,21/2/2002,,,,,,,,,
Romania,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Russia,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
San Marino,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Serbia,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,9/2/2005,55,,,,,,,,
Slovakia,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Slovenia,19/1/2006,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,1/5/2006,24/1/2002,,,,,,,,,
Spain,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,27/11/2006,,,,,,,,,
Sweden,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Switzerland,10/11/2009,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,1/3/2010,11/7/2002,,,,X,,,,,
Macedonia,3/9/2009,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,1/1/2010,15/3/2002,,,,,,,,,
Turkey,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Ukraine,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,26/6/2006,,,,,,,,,
United Kingdom,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Australia,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Canada,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
"Vatican City",,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Japan,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
United States of America,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
European Union,,Additional Protocol to the Convention on Human Rights and Biomedicine concerning Transplantation of Organs and Tissues of Human Origin,,,,,,,,,,,
Albania,6/2/2007,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/6/2007,26/5/2003,,,,,,,,,
Andorra,26/3/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2003,3/5/2002,,,,,,,,,
Armenia,,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",,19/5/2006,,,,,,,,,
Austria,12/1/2004,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/5/2004,3/5/2002,,,,,,,,,
Azerbaijan,,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",,,,,,,,,,,
Belgium,23/6/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/10/2003,3/5/2002,,,,,,,,,
Bosnia and Herzegovina,29/7/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/11/2003,3/5/2002,,,,,,,,,
Bulgaria,13/2/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2003,21/11/2002,,,,,,,,,
Croatia,3/2/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2003,3/7/2002,,,,,,,,,
Cyprus,12/3/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2003,3/5/2002,,,,,,,,,
Czech Republic,2/7/2004,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/11/2004,3/5/2002,,,,,,,,,
Denmark,28/11/2002,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2003,3/5/2002,,X,,,,,,,
Estonia,25/2/2004,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/6/2004,3/5/2002,,,,,,,,,
Finland,29/11/2004,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/3/2005,3/5/2002,,,,,,,,,
France,10/10/2007,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/2/2008,3/5/2002,,,,,,,,,
Georgia,22/5/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/9/2003,3/5/2002,,,X,,,,,,
Germany,11/10/2004,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/2/2005,3/5/2002,,,,,,,,,
Greece,1/2/2005,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/6/2005,3/5/2002,,,,,,,,,
Hungary,16/7/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/11/2003,3/5/2002,,,,,,,,,
Iceland,10/11/2004,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/3/2005,3/5/2002,,,,,,,,,
Ireland,3/5/2002,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2003,3/5/2002,,,,,,,,,
Italy,3/3/2009,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2009,3/5/2002,,,,,,,,,
Latvia,26/1/2012,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/5/2012,3/5/2002,,,,,,,,,
Liechtenstein,5/12/2002,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2003,3/5/2002,,,,,,,,,
Lithuania,29/1/2004,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/5/2004,3/5/2002,,,,,,,,,
Luxembourg,21/3/2006,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2006,3/5/2002,,,,,,,,,
Malta,3/5/2002,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2003,3/5/2002,,,,,,,,,
Moldova,18/10/2006,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/2/2007,3/5/2002,,,X,,,,,,
Monaco,30/11/2005,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/3/2006,5/10/2004,,,,,,,,,
Montenegro,3/3/2004,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",6/6/2006,3/4/2003,56,,,,,,,,
Netherlands,10/2/2006,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/6/2006,3/5/2002,,X,,,,,,,
Norway,16/8/2005,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/12/2005,3/5/2002,,,,,,,,,
Poland,,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",,3/5/2002,,,,,,,,,
Portugal,3/10/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/2/2004,3/5/2002,,,,,,,,,
Romania,7/4/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/8/2003,3/5/2002,,,,,,,,,
Russia,,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",,,,,,,,,,,
San Marino,25/4/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/8/2003,3/5/2002,,,,,,,,,
Serbia,3/3/2004,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2004,3/4/2003,56,,,,,,,,
Slovakia,18/8/2005,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/12/2005,24/7/2002,,,,,,,,,
Slovenia,4/12/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/4/2004,3/5/2002,,,,,,,,,
Spain,16/12/2009,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/4/2010,3/5/2002,,,X,,,,,,
Sweden,22/4/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/8/2003,3/5/2002,,,,,,,,,
Switzerland,3/5/2002,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2003,3/5/2002,,,,,,,,,
Macedonia,13/7/2004,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/11/2004,3/5/2002,,,,,,,,,
Turkey,20/2/2006,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/6/2006,9/1/2004,,,,,,,,,
Ukraine,11/3/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/7/2003,3/5/2002,,,,,,,,,
United Kingdom,10/10/2003,"Protocol No. 13 to the Convention for the Protection of Human Rights and Fundamental Freedoms, concerning the abolition of the death penalty in all circumstances",1/2/2004,3/5/2002,,,,,,X,,,
Albania,,Additional Protocol to the Anti-Doping Convention,,12/5/2004,,,,,,,,,
Andorra,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Armenia,14/9/2006,Additional Protocol to the Anti-Doping Convention,1/1/2007,12/9/2002,,,,,,,,,
Austria,3/2/2004,Additional Protocol to the Anti-Doping Convention,1/6/2004,12/9/2002,,,,,,,,,
Azerbaijan,11/2/2004,Additional Protocol to the Anti-Doping Convention,1/6/2004,26/3/2003,,,,,,,,,
Belgium,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Bosnia and Herzegovina,30/3/2009,Additional Protocol to the Anti-Doping Convention,1/7/2009,3/10/2003,,,,,,,,,
Bulgaria,13/6/2005,Additional Protocol to the Anti-Doping Convention,1/10/2005,6/12/2004,,,,,,,,,
Croatia,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Cyprus,15/12/2004,Additional Protocol to the Anti-Doping Convention,1/4/2005,12/9/2002,,,,,,,,,
Czech Republic,12/1/2005,Additional Protocol to the Anti-Doping Convention,1/5/2005,12/9/2002,,,,,,,,,
Denmark,12/9/2002 s,Additional Protocol to the Anti-Doping Convention,1/4/2004,12/9/2002 s,,,,,,,,,
Estonia,26/11/2004 s,Additional Protocol to the Anti-Doping Convention,1/3/2005,26/11/2004 s,,,,,,,,,
Finland,,Additional Protocol to the Anti-Doping Convention,,12/9/2002,,,,,,,,,
France,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Georgia,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Germany,15/1/2008,Additional Protocol to the Anti-Doping Convention,1/5/2008,15/2/2006,,,,,,,,,
Greece,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Hungary,21/6/2007,Additional Protocol to the Anti-Doping Convention,1/10/2007,30/3/2004,,,,,,,,,
Iceland,30/3/2004 s,Additional Protocol to the Anti-Doping Convention,1/7/2004,30/3/2004 s,,,,,,,,,
Ireland,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Italy,,Additional Protocol to the Anti-Doping Convention,,12/9/2002,,,,,,,,,
Latvia,9/12/2003,Additional Protocol to the Anti-Doping Convention,1/4/2004,12/9/2002,,,,,,,,,
Liechtenstein,8/2/2006,Additional Protocol to the Anti-Doping Convention,1/6/2006,22/11/2005,,,,,,,,,
Lithuania,9/11/2004,Additional Protocol to the Anti-Doping Convention,1/3/2005,17/9/2003,,,,,,,,,
Luxembourg,18/12/2006,Additional Protocol to the Anti-Doping Convention,1/4/2007,12/9/2002,,,,,,,,,
Malta,,Additional Protocol to the Anti-Doping Convention,,12/9/2002,,,,,,,,,
Moldova,27/1/2009,Additional Protocol to the Anti-Doping Convention,1/5/2009,20/2/2008,,,X,,,,,,
Monaco,28/11/2003,Additional Protocol to the Anti-Doping Convention,1/4/2004,9/9/2003,,,,,,,,,
Montenegro,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Netherlands,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Norway,12/9/2002 s,Additional Protocol to the Anti-Doping Convention,1/4/2004,12/9/2002 s,,,,,,,,,
Poland,18/6/2004 s,Additional Protocol to the Anti-Doping Convention,1/10/2004,18/6/2004 s,,,,,,,,,
Portugal,,Additional Protocol to the Anti-Doping Convention,,12/9/2002,,,,,,,,,
Romania,21/8/2006,Additional Protocol to the Anti-Doping Convention,1/12/2006,29/11/2004,,,,,,,,,
Russia,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
San Marino,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Serbia,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Slovakia,11/1/2005,Additional Protocol to the Anti-Doping Convention,1/5/2005,21/7/2003,,,,,,,,,
Slovenia,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Spain,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Sweden,12/9/2002 s,Additional Protocol to the Anti-Doping Convention,1/4/2004,12/9/2002 s,,,,,,,,,
Switzerland,4/10/2004,Additional Protocol to the Anti-Doping Convention,1/2/2005,28/2/2003,,,,,,,,,
Macedonia,,Additional Protocol to the Anti-Doping Convention,,12/9/2002,,,,,,,,,
Turkey,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Ukraine,4/11/2004,Additional Protocol to the Anti-Doping Convention,1/3/2005,7/11/2003,,,,,,,,,
United Kingdom,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Australia,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Belarus,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Canada,,Additional Protocol to the Anti-Doping Convention,,9/12/2002,,,,,,,,,
"Vatican City",,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Tunisia,26/2/2004 a,Additional Protocol to the Anti-Doping Convention,1/6/2004,,,,,,,,,,
United States of America,,Additional Protocol to the Anti-Doping Convention,,,,,,,,,,,
Albania,26/11/2004,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/3/2006,26/5/2003,,,,,,,,,
Andorra,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Armenia,12/10/2006,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/2/2007,28/1/2003,,,,,,,,,
Austria,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,30/1/2003,,,,,,,,,
Azerbaijan,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Belgium,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,28/1/2003,,,,,,,,,
Bosnia and Herzegovina,19/5/2006,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/9/2006,9/2/2005,,,,,,,,,
Bulgaria,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Croatia,4/7/2008,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/11/2008,26/3/2003,,,,X,,,,,
Cyprus,23/6/2005,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/3/2006,19/1/2005,,,,,,,,,
Czech Republic,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Denmark,21/6/2005,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/3/2006,11/2/2004,,X,,X,,,,,
Estonia,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,28/1/2003,,,,,,,,,
Finland,20/5/2011,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/9/2011,28/1/2003,,,,X,,,,,
France,10/1/2006,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/5/2006,28/1/2003,,,X,,,,,,
Georgia,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Germany,10/6/2011,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/10/2011,28/1/2003,,,,,,,,,
Greece,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,28/1/2003,,,,,,,,,
Hungary,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Iceland,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,9/10/2003,,,,,,,,,
Ireland,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Italy,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,9/11/2011,,,,,,,,,
Latvia,14/2/2007,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/6/2007,5/5/2004,,,,,,,,,
Liechtenstein,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,17/11/2008,,,,,,,,,
Lithuania,12/10/2006,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/2/2007,7/4/2005,,,X,,,,,,
Luxembourg,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,28/1/2003,,,,,,,,,
Malta,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,28/1/2003,,,,,,,,,
Moldova,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,25/4/2003,,,,,,,,,
Monaco,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Montenegro,3/3/2010,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/7/2010,7/4/2005,55,,,X,,,,,
Netherlands,22/7/2010,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/11/2010,28/1/2003,,X,,X,,,,,
Norway,29/4/2008,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/8/2008,29/4/2008,,,,X,,,,,
Poland,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,21/7/2003,,,,,,,,,
Portugal,24/3/2010,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/7/2010,17/3/2003,,,,,,,,,
Romania,16/7/2009,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/11/2009,9/10/2003,,,,X,,,,,
Russia,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
San Marino,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Serbia,14/4/2009,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/8/2009,7/4/2005,55,,,,,,,,
Slovakia,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Slovenia,8/9/2004,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/3/2006,26/2/2004,,,,,,,,,
Spain,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Sweden,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,28/1/2003,,,,,,,,,
Switzerland,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,9/10/2003,,,,,,,,,
Macedonia,14/11/2005,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/3/2006,14/11/2005,,,,,,,,,
Turkey,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Ukraine,21/12/2006,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",1/4/2007,8/4/2005,,,X,,,,,,
United Kingdom,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Canada,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,8/7/2005,,,,,,,,,
Japan,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
South Africa,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,4/4/2008,,,,,,,,,
United States of America,,"Additional Protocol to the Convention on Cybercrime, concerning the criminalisation of acts of a racist and xenophobic nature committed through computer systems",,,,,,,,,,,
Albania,15/11/2004,Protocol amending the European Convention on the Suppression of Terrorism,,9/10/2003,,,,,,,,,
Andorra,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Armenia,23/3/2004,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Austria,,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,13,,,,,,,,
Azerbaijan,2/12/2008,Protocol amending the European Convention on the Suppression of Terrorism,,12/5/2004,,,X,,,,,,
Belgium,16/8/2007,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,X,,,,,
Bosnia and Herzegovina,,Protocol amending the European Convention on the Suppression of Terrorism,,4/2/2005,13,,,,,,,,
Bulgaria,26/2/2004,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Croatia,10/5/2005,Protocol amending the European Convention on the Suppression of Terrorism,,17/9/2003,,,,,,,,,
Cyprus,6/8/2004,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Czech Republic,,Protocol amending the European Convention on the Suppression of Terrorism,,27/11/2007,13,,X,,,,,,
Denmark,14/4/2004,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,X,,,,,,,
Estonia,26/5/2005,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Finland,27/5/2005,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
France,9/1/2008,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
Georgia,8/12/2004,Protocol amending the European Convention on the Suppression of Terrorism,,15/5/2003,,,,,,,,,
